timestamp,src_ip,src_port,dest_ip,dest_port,proto,signature,category,severity
2026-04-22T10:14:36.873318+0000,192.168.8.140,58891,192.168.8.236,135,TCP,ET SCAN Behavioral Unusual Port 135 traffic Potential Scan or Infection,Misc activity,3
2026-04-22T10:14:36.952253+0000,192.168.8.140,58891,192.168.8.236,137,TCP,ET SCAN Behavioral Unusual Port 137 traffic Potential Scan or Infection,Misc activity,3
2026-04-22T10:16:43.685371+0000,192.168.8.140,58877,192.168.8.236,135,TCP,ET SCAN Behavioral Unusual Port 135 traffic Potential Scan or Infection,Misc activity,3
2026-04-22T10:16:43.707913+0000,192.168.8.140,58877,192.168.8.236,137,TCP,ET SCAN Behavioral Unusual Port 137 traffic Potential Scan or Infection,Misc activity,3
