ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1776869143.626396,CKk3Tr3E5lBaYzsRoh,192.168.8.123,38935,192.168.8.1,53,udp,dns,0.000585,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869143.627017,C256m43gxjdehd5t36,192.168.8.123,35449,192.168.8.1,53,udp,dns,0.000293,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869143.627435,CjaoGz34dgWMlOu7w7,192.168.8.123,38292,192.168.8.1,53,udp,dns,0.000586,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869143.628056,CrKrIY3MEPvDOHqHUc,192.168.8.123,37455,192.168.8.1,53,udp,dns,0.000296,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869143.628495,CB1Q4E3RJ26kl6D1Lh,192.168.8.123,48608,192.168.8.1,53,udp,dns,0.000589,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869143.629124,CWkezW1k2n7g862wAg,192.168.8.123,51458,192.168.8.1,53,udp,dns,0.000293,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869143.629547,CwESim0XQop39ttb6,192.168.8.123,50904,192.168.8.1,53,udp,dns,0.000679,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869143.630270,C2QR7f2Sqmc3Rta825,192.168.8.123,50239,192.168.8.1,53,udp,dns,0.000295,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869143.630713,CcauJ94Kg3DKnoCaqa,192.168.8.123,36574,192.168.8.1,53,udp,dns,0.000590,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869143.631340,CdD4Jt3XC04YmkrDfl,192.168.8.123,56900,192.168.8.1,53,udp,dns,0.000345,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869143.631814,Ce05ja3iupy7rW1g28,192.168.8.123,46680,192.168.8.1,53,udp,dns,0.000700,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869143.632549,CfZePl34h57cmZDjBf,192.168.8.123,40064,192.168.8.1,53,udp,dns,0.000296,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869093.186117,CXClIk3bejcoj3tyt7,192.168.8.140,62847,239.255.255.250,1900,udp,-,3.026065,676,0,S0,T,T,0,D,4,788,0,0,-,17
1776869146.604121,CCE4sL1QaevzVqevxd,192.168.8.236,35626,192.168.8.1,53,udp,dns,0.000863,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.605180,C2gXQN2Qonb0aoanp,192.168.8.236,38104,192.168.8.1,53,udp,dns,0.000244,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.606026,C0Mzt03p3pdT1Amt27,192.168.8.236,34032,192.168.8.1,53,udp,dns,0.000518,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.606721,Cikpnt25ZLVxgN0sMa,192.168.8.236,50285,192.168.8.1,53,udp,dns,0.000201,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.607499,CmfoLeLiaQIeswLNf,192.168.8.236,37590,192.168.8.1,53,udp,dns,0.000513,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.608181,CaaD4H29E3x45RW8Z7,192.168.8.236,54921,192.168.8.1,53,udp,dns,0.000203,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.609013,CelBeji9MkBVLrQnb,192.168.8.236,56726,192.168.8.1,53,udp,dns,0.000534,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.609731,CFcRiE2kprViCchC55,192.168.8.236,55602,192.168.8.1,53,udp,dns,0.000269,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.610587,CVSzlz3tnPb8CjeXl9,192.168.8.236,57358,192.168.8.1,53,udp,dns,0.000528,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.611292,CO2alU1sk7XOCdjvSk,192.168.8.236,45518,192.168.8.1,53,udp,dns,0.000217,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.612068,Ce9RF33FcY4IwkrBZ1,192.168.8.236,49840,192.168.8.1,53,udp,dns,0.000657,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.612936,Ci2rvjdJPMEyz272c,192.168.8.236,56503,192.168.8.1,53,udp,dns,0.000206,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.613714,CFmSQz2OCMPZAYVQA,192.168.8.236,46971,192.168.8.1,53,udp,dns,0.000511,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.614401,CRBAtF1LQGbCh7lHJh,192.168.8.236,55451,192.168.8.1,53,udp,dns,0.000197,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.615148,CCJjuW1mcXhHjsERe5,192.168.8.236,48131,192.168.8.1,53,udp,dns,0.000625,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.615949,CjcdIJ1SkGWZcN01Be,192.168.8.236,38441,192.168.8.1,53,udp,dns,0.000224,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.616724,CRhRKE2LY0W2rcF1ol,192.168.8.236,44869,192.168.8.1,53,udp,dns,0.000508,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.617403,CZuq9SoqfqO7obIZe,192.168.8.236,53571,192.168.8.1,53,udp,dns,0.000206,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869146.618179,CRUpKO3iZ9MYlIS2z5,192.168.8.236,34517,192.168.8.1,53,udp,dns,0.000523,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776869146.618869,ClJYEZ3i4MH6oqT63d,192.168.8.236,48464,192.168.8.1,53,udp,dns,0.000202,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776869151.039729,CftDA7yOQr0n96oZ3,192.168.8.140,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,T,T,0,D,1,73,0,0,-,17
1776869173.871600,CbCeKxHVZaHuU9lH3,192.168.8.123,44742,192.168.8.1,53,udp,dns,0.001009,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.872657,CnGpJg1lJIMQyNAs9e,192.168.8.123,33643,192.168.8.1,53,udp,dns,0.000323,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.873318,CofrEl40gSzVPxKVbk,192.168.8.123,36298,192.168.8.1,53,udp,dns,0.000607,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.873972,Cpri9V1SqgXrXtSGu6,192.168.8.123,34289,192.168.8.1,53,udp,dns,0.000349,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.874653,C279HC1hzTnkqh2k5c,192.168.8.123,40150,192.168.8.1,53,udp,dns,0.000668,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.875360,CNkVa73jwA57ponrCa,192.168.8.123,52333,192.168.8.1,53,udp,dns,0.000340,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.875989,Cv3R1l2jVdVAcX1CVf,192.168.8.123,33489,192.168.8.1,53,udp,dns,0.000607,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.876633,CYNbsw1SRDC5legk2g,192.168.8.123,59266,192.168.8.1,53,udp,dns,0.000296,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.877191,C4cMml2OXxvouL6vi1,192.168.8.123,56033,192.168.8.1,53,udp,dns,0.000587,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.877812,CFa0c91sHVphORsVEi,192.168.8.123,41569,192.168.8.1,53,udp,dns,0.000293,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.878356,CwV9YB4SrQTYMDla38,192.168.8.123,60856,192.168.8.1,53,udp,dns,0.000671,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.879062,C1HxfI3hIaWpLUUsLc,192.168.8.123,55376,192.168.8.1,53,udp,dns,0.000343,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.879652,CmXP8y2Ywzi9HPTOTk,192.168.8.123,33256,192.168.8.1,53,udp,dns,0.000665,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.880351,CLwilM3kGIKo4cQFK4,192.168.8.123,33405,192.168.8.1,53,udp,dns,0.000295,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.880883,CYcEj52vlVqBT8Fv1e,192.168.8.123,47285,192.168.8.1,53,udp,dns,0.000587,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.881505,CnMrZO17W7mMcaJjV,192.168.8.123,34682,192.168.8.1,53,udp,dns,0.000354,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776869173.882127,CGXCyF32O95i0lD2Zg,192.168.8.123,40495,192.168.8.1,53,udp,dns,0.000705,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776869173.882879,CHqOTpUSI3XBuoQk2,192.168.8.123,38256,192.168.8.1,53,udp,dns,0.000348,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
