timestamp,src_ip,src_port,dest_ip,dest_port,proto,signature,category,severity
2026-04-09T15:12:34.525382+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:36.525587+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:38.525702+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:40.525839+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:42.526003+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:44.526161+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:46.526320+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:47.211840+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:48.536516+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:50.526619+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:52.526778+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:54.526933+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:56.527082+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:12:58.527250+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:00.527396+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:02.527593+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:04.527748+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:06.527891+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:08.528040+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:10.528167+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:12.528353+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:14.528495+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:16.528661+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:17.277237+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:18.529979+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:20.529013+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:22.519105+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:24.519442+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:26.519503+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:28.519738+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:30.519722+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:32.519913+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:34.520038+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:36.520215+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:38.520543+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:40.520511+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:42.520631+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:44.520825+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:46.526663+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
2026-04-09T15:13:47.647642+0000,,,,,,SURICATA Ethertype unknown,Generic Protocol Command Decode,3
