ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1776839653.344756,CZcBOI1HnUushKLd03,192.168.8.236,57971,192.168.8.1,53,udp,dns,0.000553,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839653.345416,C7kSP41R71vkduSFQ8,192.168.8.236,36690,192.168.8.1,53,udp,dns,0.000218,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839653.345905,ChQpUV2gb5aoPE3E95,192.168.8.236,46805,192.168.8.1,53,udp,dns,0.000578,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839653.346578,CeJ0Pp1QvosTB894pe,192.168.8.236,41845,192.168.8.1,53,udp,dns,0.000215,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839653.347124,CnIszHnKg5W2DiLq4,192.168.8.236,56575,192.168.8.1,53,udp,dns,0.000495,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839653.347722,CvMe9wKOYpTUPygHf,192.168.8.236,46195,192.168.8.1,53,udp,dns,0.000279,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839680.121686,CaXuET1djVYZ4dVW3j,192.168.8.123,44099,192.168.8.1,53,udp,dns,0.000940,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.122673,CVxZtT3C0yPnT0uRV9,192.168.8.123,51678,192.168.8.1,53,udp,dns,0.000376,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.123346,CdTQIA3dY9XGagjr6g,192.168.8.123,39849,192.168.8.1,53,udp,dns,0.000625,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.124004,CpWW471SPw70PoFaR7,192.168.8.123,36383,192.168.8.1,53,udp,dns,0.000310,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.124565,CKsZbD18bUrwfqnpq4,192.168.8.123,53720,192.168.8.1,53,udp,dns,0.000597,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.125191,CmHHIB1mNISBx2BIRd,192.168.8.123,53933,192.168.8.1,53,udp,dns,0.000353,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.125774,CJd7kf1CAFtFqXmIi5,192.168.8.123,58707,192.168.8.1,53,udp,dns,0.000599,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.126405,COHhoq4Q36PbN6bzIj,192.168.8.123,34376,192.168.8.1,53,udp,dns,0.000305,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.126945,Cqw3Aj3qP3kd7FNsi,192.168.8.123,55339,192.168.8.1,53,udp,dns,0.000592,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.127568,CI03mf4ptlypVEZCKc,192.168.8.123,57633,192.168.8.1,53,udp,dns,0.000350,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.128149,CIMIxQ3dNwHTxfo1l7,192.168.8.123,35784,192.168.8.1,53,udp,dns,0.000587,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.128769,C6dWeF2LNgmDSDZ7ta,192.168.8.123,38298,192.168.8.1,53,udp,dns,0.000351,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.129353,C7dtHw0w6HcPB5j6,192.168.8.123,36106,192.168.8.1,53,udp,dns,0.000639,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.130024,Cqw18S1139LyvN3lv5,192.168.8.123,43684,192.168.8.1,53,udp,dns,0.000309,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.130590,CWqIRx1Ns7DI2PgtSg,192.168.8.123,40402,192.168.8.1,53,udp,dns,0.000715,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.131344,CBGniz2lLeetnq23x2,192.168.8.123,41320,192.168.8.1,53,udp,dns,0.000315,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.131923,CQz9ERPCkPZCnB4Pb,192.168.8.123,59955,192.168.8.1,53,udp,dns,0.000615,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.132571,CwB89K3r76j82JdOOl,192.168.8.123,33669,192.168.8.1,53,udp,dns,0.000313,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839680.133131,CipomU1OAGV3RqQVj,192.168.8.123,59004,192.168.8.1,53,udp,dns,0.000655,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839680.133823,CddAaAHC5a2LNYzx6,192.168.8.123,42567,192.168.8.1,53,udp,dns,0.000314,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839683.585605,ClGcWv5qiu2mIZgjh,192.168.8.236,34310,192.168.8.1,53,udp,dns,0.001027,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.586819,CyuaDk3M1si5HdXwmk,192.168.8.236,41895,192.168.8.1,53,udp,dns,0.000239,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.587736,CSFjA926a7E9eYQHg,192.168.8.236,40241,192.168.8.1,53,udp,dns,0.000633,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.588552,CQZLRm2vfaYDkaOHgl,192.168.8.236,39134,192.168.8.1,53,udp,dns,0.000222,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.589335,Cc38z83x3ozdzYsma9,192.168.8.236,60962,192.168.8.1,53,udp,dns,0.000588,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.590090,CmMnW73eDgeedOp0Wi,192.168.8.236,44936,192.168.8.1,53,udp,dns,0.000270,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.590904,CNrzgwRXXYeCsBwX1,192.168.8.236,34520,192.168.8.1,53,udp,dns,0.000594,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.591668,CRBf274ESPOAg6TQk2,192.168.8.236,56087,192.168.8.1,53,udp,dns,0.000208,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.592426,CL1GF94GDEy302Cvhf,192.168.8.236,60602,192.168.8.1,53,udp,dns,0.000524,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.593124,CyYRHn2zJtuu2GmMv1,192.168.8.236,38745,192.168.8.1,53,udp,dns,0.000218,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.593878,Cd3hdr1xZcd8g7cy94,192.168.8.236,42049,192.168.8.1,53,udp,dns,0.000625,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.594676,CSWAq81iBDGyEtBC9c,192.168.8.236,39589,192.168.8.1,53,udp,dns,0.000205,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.595441,CDYWxL3M2rVaO0mlw8,192.168.8.236,46451,192.168.8.1,53,udp,dns,0.000528,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.596137,CHTta23EQk2CsaGkhj,192.168.8.236,34793,192.168.8.1,53,udp,dns,0.000266,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.597062,C9fStu1V3vwTlDqor5,192.168.8.236,43359,192.168.8.1,53,udp,dns,0.000654,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.597904,CcxHMS1IK5wVGgru9g,192.168.8.236,55194,192.168.8.1,53,udp,dns,0.000219,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.598749,C2Fs2d1UBPP51YeZSg,192.168.8.236,48768,192.168.8.1,53,udp,dns,0.000651,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.599575,Ck2BAs1NHTsfQUktM1,192.168.8.236,34466,192.168.8.1,53,udp,dns,0.000222,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839683.600336,CtTLh8PAzgcCkywSc,192.168.8.236,52789,192.168.8.1,53,udp,dns,0.000533,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839683.601039,CAZRRF2dnIdllVnoS4,192.168.8.236,51951,192.168.8.1,53,udp,dns,0.000268,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839379.580823,C5RGBa2zH4F6GLkYL2,192.168.8.140,53024,192.168.8.123,22,tcp,-,25.193617,21056,29988,OTH,T,T,0,DdttAt,612,45536,1170,106776,-,6
1776839710.371412,CZhXFG3SyBk1loaPt6,192.168.8.123,60680,192.168.8.1,53,udp,dns,0.001080,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.372533,CKSK1w1Ukc1SyEvIsd,192.168.8.123,44014,192.168.8.1,53,udp,dns,0.000411,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.373085,Cn1E3F3A6kCH93Wps6,192.168.8.123,51213,192.168.8.1,53,udp,dns,0.000641,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.373754,CyGnFD2KTgZGa35TL9,192.168.8.123,34284,192.168.8.1,53,udp,dns,0.000301,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.374241,CyjfiH12j28HlLlcb5,192.168.8.123,57293,192.168.8.1,53,udp,dns,0.000598,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.374870,C3NDk13k6VsPDRDcA8,192.168.8.123,40364,192.168.8.1,53,udp,dns,0.000357,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.375342,CqWYLE2Oxz96DI76W3,192.168.8.123,48609,192.168.8.1,53,udp,dns,0.000614,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.375992,Cr8C6k14d0ubC4VrS6,192.168.8.123,46273,192.168.8.1,53,udp,dns,0.000303,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.376410,ClhmXgr1w3EDQZ9X5,192.168.8.123,53109,192.168.8.1,53,udp,dns,0.000585,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.377022,CFNLVq4OrVoFUC6PA,192.168.8.123,56110,192.168.8.1,53,udp,dns,0.000298,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.377425,CxYPjDJAgS2p71Vu4,192.168.8.123,35645,192.168.8.1,53,udp,dns,0.000595,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.378068,C6pIUJ189BDjZVxn01,192.168.8.123,37322,192.168.8.1,53,udp,dns,0.000296,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.378563,CQDN7H1T6BOD3qVpc5,192.168.8.123,51922,192.168.8.1,53,udp,dns,0.000599,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.379200,CNKT8t3sD3j3fuUJjg,192.168.8.123,54148,192.168.8.1,53,udp,dns,0.000380,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.379773,CL8WjO2I6st1WOamQ1,192.168.8.123,52503,192.168.8.1,53,udp,dns,0.000602,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.380412,CyJhH04gu75AXdXWGe,192.168.8.123,35242,192.168.8.1,53,udp,dns,0.000350,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.380976,CahhQQ1r5TnnXAE5f1,192.168.8.123,48637,192.168.8.1,53,udp,dns,0.000619,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.381635,CoHWV53KEhSsWTTPY3,192.168.8.123,37364,192.168.8.1,53,udp,dns,0.000302,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839710.382068,C12TihW7OW4NtJ3o8,192.168.8.123,54059,192.168.8.1,53,udp,dns,0.000588,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839710.382689,CHZ8ab3BRfNROHamT8,192.168.8.123,60762,192.168.8.1,53,udp,dns,0.000355,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839713.835014,CfXz4327FoOd94tHb1,192.168.8.236,51238,192.168.8.1,53,udp,dns,0.001001,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.836202,CmvniB3nwJOO4ZgRik,192.168.8.236,60480,192.168.8.1,53,udp,dns,0.000247,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.837043,C18GMy4OHc6KozRo39,192.168.8.236,47663,192.168.8.1,53,udp,dns,0.000530,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.837742,CbLG9nZBPTGt7Xknc,192.168.8.236,49188,192.168.8.1,53,udp,dns,0.000237,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.838588,C6li5H382aNuORIyW1,192.168.8.236,39461,192.168.8.1,53,udp,dns,0.000606,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.839363,CWAwOExavXWWbRwL,192.168.8.236,58108,192.168.8.1,53,udp,dns,0.000289,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.840209,CM4t7b1nvFdCQbWfrj,192.168.8.236,53410,192.168.8.1,53,udp,dns,0.000537,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.840921,CV4VsU7Sap84fk2K4,192.168.8.236,40059,192.168.8.1,53,udp,dns,0.000216,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.841682,CgUKfa4eXoPNVr6YGk,192.168.8.236,56829,192.168.8.1,53,udp,dns,0.000598,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.842453,CXXfHz4uhC6USsyEUj,192.168.8.236,36387,192.168.8.1,53,udp,dns,0.000267,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.843271,CCgYjRPsbkf227qo7,192.168.8.236,36634,192.168.8.1,53,udp,dns,0.000636,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.844082,CQRMst4KN4nTURf7G4,192.168.8.236,50676,192.168.8.1,53,udp,dns,0.000278,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.844903,Czud1y103eDZLmWbM3,192.168.8.236,36372,192.168.8.1,53,udp,dns,0.000525,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.845598,C8wZPaNf8O1k7ouk8,192.168.8.236,60650,192.168.8.1,53,udp,dns,0.000259,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.846388,CDnooj2wak9vS8nW5f,192.168.8.236,38926,192.168.8.1,53,udp,dns,0.000617,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.847169,CYnb1ikGNc8A36vId,192.168.8.236,59270,192.168.8.1,53,udp,dns,0.000217,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.847922,C5HX13jX97MpatRek,192.168.8.236,36547,192.168.8.1,53,udp,dns,0.000621,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.848718,CmamTy3fw38GIzqg92,192.168.8.236,41886,192.168.8.1,53,udp,dns,0.000234,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839713.849482,Cwx6Wq10LR5DJ0tXzi,192.168.8.236,53509,192.168.8.1,53,udp,dns,0.000774,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839713.850422,CfC4ZvXO7ldETgfBf,192.168.8.236,47218,192.168.8.1,53,udp,dns,0.000211,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839740.621635,COQGff4Joy5TD9tFOh,192.168.8.123,39553,192.168.8.1,53,udp,dns,0.000951,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.622626,CM5R6g1MFZo1G8mgi,192.168.8.123,53998,192.168.8.1,53,udp,dns,0.000312,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.623206,C7i2cS1HjBYMN5Xt2l,192.168.8.123,56429,192.168.8.1,53,udp,dns,0.000606,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.623843,CigukZ3CNLhKncmfQ2,192.168.8.123,58462,192.168.8.1,53,udp,dns,0.000299,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.624387,CAvmfoDqnCpaEVwp8,192.168.8.123,50626,192.168.8.1,53,udp,dns,0.000688,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.625105,CGJPd72o6TxUhivJMf,192.168.8.123,57842,192.168.8.1,53,udp,dns,0.000355,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.625698,C6dojI3GWbWYSFB1nl,192.168.8.123,41470,192.168.8.1,53,udp,dns,0.001282,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.627038,CNHDY92HG67em0VjG,192.168.8.123,32932,192.168.8.1,53,udp,dns,0.000307,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.627560,CYtQ3528kqFsz85Tkl,192.168.8.123,47977,192.168.8.1,53,udp,dns,0.000715,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.628328,Cms08Q1rlVWss5N4wj,192.168.8.123,43601,192.168.8.1,53,udp,dns,0.000300,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.628817,CXuFsf40FE64eGyP9,192.168.8.123,43709,192.168.8.1,53,udp,dns,0.000707,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.629558,CuFYYN3TCm0dPQGql4,192.168.8.123,49309,192.168.8.1,53,udp,dns,0.000342,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.632192,CcmmPb1VAAWlVGst1e,192.168.8.123,46328,192.168.8.1,53,udp,dns,0.000632,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.632873,CIGuA24GTmBir2Ctgl,192.168.8.123,45937,192.168.8.1,53,udp,dns,0.000356,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.633386,Ctj5Tb2hGGObcl7Oag,192.168.8.123,42038,192.168.8.1,53,udp,dns,0.000682,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.634106,C1JF5EtNsj3kBhY4l,192.168.8.123,58359,192.168.8.1,53,udp,dns,0.000313,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.636730,CcXwkDCHHeBTcvHvi,192.168.8.123,57135,192.168.8.1,53,udp,dns,0.000681,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.637495,CKcUUZBkDR2NOwFYc,192.168.8.123,51343,192.168.8.1,53,udp,dns,0.000374,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839740.638087,C5Mx7m1STyM0jMLU18,192.168.8.123,39218,192.168.8.1,53,udp,dns,0.000651,312,156,SF,T,T,0,Dd,8,536,4,268,-,17
1776839740.638811,CMCQn62gtYXyEeOhy4,192.168.8.123,56477,192.168.8.1,53,udp,dns,0.000371,172,86,SF,T,T,0,Dd,4,284,2,142,-,17
1776839744.084543,C97R4I2yYGpJAbtujh,192.168.8.236,37144,192.168.8.1,53,udp,dns,0.000868,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839744.085603,C65rxF3zgraeu2OVpa,192.168.8.236,57151,192.168.8.1,53,udp,dns,0.000243,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839744.086474,Csn8lU3o00PuLUutg5,192.168.8.236,50112,192.168.8.1,53,udp,dns,0.000638,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839744.087287,CCISGR2xUhexEXNEM,192.168.8.236,60717,192.168.8.1,53,udp,dns,0.000213,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839744.088068,CYhe631xTiW76Pw9a7,192.168.8.236,52115,192.168.8.1,53,udp,dns,0.000537,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839744.088781,CLJpMs1uCTzppEF4J8,192.168.8.236,44395,192.168.8.1,53,udp,dns,0.000198,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
1776839744.089633,CcUmwL1ziAMwUUIZAc,192.168.8.236,47470,192.168.8.1,53,udp,dns,0.000606,156,156,SF,T,T,0,Dd,4,268,4,268,-,17
1776839744.090417,C3k5A41RtYtUHrcz7j,192.168.8.236,55284,192.168.8.1,53,udp,dns,0.000227,86,86,SF,T,T,0,Dd,2,142,2,142,-,17
